# tracer: function
#
# entries-in-buffer/entries-written: 1135/1135   #P:4
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
          <idle>-0     [002] d.h. 65834.542470: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.542477: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.542607: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.542729: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.542730: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [000] d.h. 65834.545151: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [000] d.h. 65834.545156: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.545383: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.545419: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.545420: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.548845: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.548848: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.548949: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.549020: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.549021: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.566507: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.566510: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.566604: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.566634: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.566874: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.566915: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.566916: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.574138: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.574142: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.574236: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.574256: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.574446: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.574490: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.574491: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.584099: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.584102: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.584195: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.584226: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.584402: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.584490: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65834.584491: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65834.594002: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65834.594006: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65834.594100: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.594155: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65834.594326: itouch_print_hex_dump <-send_touches_to_os
